freq,wst_oper,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022
A,RCV,T,AT	59292 	48440 	37530 	38429 	48918 	53295 	43100 	43549 	49687 	33700
A,RCV,T,BE	113663 	110710 	93377 	99138 	108980 	130590 	119888 	106373 	100159 	78110
A,RCV,T,BG	57957 	76420 	81479 	85738 	99771 	95946 	83557 	69287 	84726 	95333
A,RCV,T,CY	8129 	6170 	4833 	3114 	3592 	5441 	7535 	7117 	8421 	6490
A,RCV,T,CZ	96000 	102367 	121162 	127283 	132824 	151828 	161560 	166319 	184754 	200337
A,RCV,T,DE	488550 	489508 	435498 	394806 	502444 	548547 	451096 	412553 	421188 	295691
A,RCV,T,DK	92646 	84072 	79756 	85454 	112307 	117147 	118457 	89091 	103823 	66980
A,RCV,T,EE	12970 	11909 	10726 	10362 	15510 	17470 	15679 	15535 	21610 	15203
A,RCV,T,EL	56720 	50689 	39376 	36391 	29385 	42081 	29265 	35696 	42434 	38609
A,RCV,T,ES	592139 	579357 	562229 	488309 	498768 	642795 	709465 	633467 	652783 	577320
A,RCV,T,FI	84030 	93353 	98414 	113023 	126689 	118531 	94613 	102279 	107252 	99256
A,RCV,T,FR	938793 	904562 	886053 	932791 	1054143 	1454561 	1541907 	1292693 	1314358 	1157072
A,RCV,T,HR	29013 	21634 	19440 	18727 	24592 	29924 	44168 	51718 	37158 	38693
A,RCV,T,HU	11164 	9538 	10155 	8615 	10210 	12135 	16469 	14526 	12613 	12102
A,RCV,T,IE	89008 	83007 	72317 	95902 	139916 	162484 	149352 	121229 	146365 	105593
A,RCV,T,IS	5165 	6209 	7218 	8006 	12073 	15077 	15582 	14441 	13031 	10613
A,RCV,T,IT	679128 	738550 	738964 	776087 	796415 	860620 	956609 	889472 	1051942 	766079
A,RCV,T,LI	315 	183 	237 	249 	316 	215 	183 	191 	143 	12
A,RCV,T,LT	19301 	20201 	20696 	18709 	18188 	18482 	19148 	23196 	24779 	24245
A,RCV,T,LU	2320 	2109 	1670 	1943 	1887 	3081 	2987 	2532 	2563 	1601
A,RCV,T,LV	7859 	7814 	7129 	7022 	9357 	10345 	9589 	10559 	9453 	11926
A,RCV,T,MT	928 	1211 	3281 	3362 	4285 	5801 	5257 	7232 	8694 	6360
A,RCV,T,NL	136419 	140980 	123968 	150963 	157270 	170455 	144752 	160054 	163432 	116561
A,RCV,T,NO	141803 	143459 	161195 	161981 	165817 	170622 	177271 	172977 	162830 	147479
A,RCV,T,PL	320641 	358874 	411838 	325311 	451438 	453356 	612619 	421006 	440634 	396580
A,RCV,T,PT	74789 	71898 	71396 	74523 	87274 	94170 	103001 	93011 	105060 	93984
A,RCV,T,RO	28234 	32413 	33988 	39623 	43245 	58599 	74603 	72188 	: 	:
A,RCV,T,SE	185544 	181386 	197985 	192651 	208917 	215180 	198108 	191165 	184633 	181724
A,RCV,T,SI	: 	5278 	4451 	6033 	8236 	11188 	12930 	17104 	11889 	7608
A,RCV,T,SK	27404 	23211 	19928 	32828 	31664 	35942 	50067 	52144 	40827 	35023
A,RCV_REU,PC,AT	96.7 	96.1 	96.9 	96.9 	97.9 	97.8 	97.8 	97.4 	97.3 	97.4
A,RCV_REU,PC,BE	93 	94.2 	96.7 	96.4 	97.3 	97.3 	97.1 	97.3 	97.3 	97.7
