freq,unit,mot_nrg,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,BIFUEL,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIFUEL,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	22 s	33 
A,NR,BIFUEL,LV	: 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIFUEL,MT	: 	5 	24 	11 	5 	3 	1 	2 	20 	13 	9 	6 
A,NR,BIFUEL,NL	: 	: 	: 	0 	0 	: 	: 	: 	: 	0 	0 	: 
A,NR,BIFUEL,NO	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,NR,BIFUEL,PL	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 s	0 s	0 
A,NR,BIFUEL,PT	: 	: 	: 	: 	: 	9 	30 	12 	6 	4 	181 	26 p
A,NR,BIFUEL,RO	: 	354 	785 	734 	999 	908 	1360 	1416 	9278 	15952 	13565 	17669 
A,NR,BIFUEL,SE	: 	2545 	3419 	4231 	3311 	3190 	2696 	436 	261 	54 	24 	18 
A,NR,BIFUEL,TR	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIFUEL,UA	: 	: 	: 	: 	: 	: 	: 	380 	1407 	1987 	403 	380 
A,NR,BIFUEL,UK	: 	: 	: 	33 	29 	11 	95 	: 	: 	2299 	3577 	: 
A,NR,BIFUEL,XK	: 	: 	: 	: 	: 	0 	0 	0 	: 	0 	: 	: 
A,NR,BIODIE,AL	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	: 	: 
A,NR,BIODIE,AT	: 	: 	: z	: z	: z	: z	: z	0 	0 	0 	0 	0 
A,NR,BIODIE,BA	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,BE	: 	0 	0 	0 	0 	0 	0 	0 	1 	0 	2 	0 
A,NR,BIODIE,CH	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	1 
A,NR,BIODIE,DK	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,NR,BIODIE,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,BIODIE,ES	: 	: 	6 	0 	0 	: 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,FI	: 	0 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 
A,NR,BIODIE,FR	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,BIODIE,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,BIODIE,HU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,NR,BIODIE,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,NR,BIODIE,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,BIODIE,LI	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 s	0 
A,NR,BIODIE,LV	: 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,NL	: 	: 	: 	0 	0 	: 	: 	: 	: 	0 	0 	: 
A,NR,BIODIE,NO	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,PL	: 	0 	0 	0 	0 	0 	27 	21 	34 	0 s	0 s	0 
A,NR,BIODIE,PT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 p
A,NR,BIODIE,SE	: 	2 	0 n	1 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,TR	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIODIE,XK	: 	: 	: 	: 	: 	0 	0 	0 	: 	0 	: 	: 
A,NR,BIOETH,AL	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	: 	: 
A,NR,BIOETH,AT	: 	: 	: z	: z	: z	: z	: z	0 	0 	0 	0 	0 
A,NR,BIOETH,BA	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIOETH,BE	: 	13 	1 	1 	6 	0 	2 	1 	0 	0 	0 	0 
A,NR,BIOETH,CH	: 	0 	1 	1 	1 	0 	0 	2 	0 	1 	0 	0 
A,NR,BIOETH,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIOETH,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	0 	0 
A,NR,BIOETH,DK	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,NR,BIOETH,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,BIOETH,ES	: 	: 	: 	5 	1 	: 	0 	0 	0 	1 	0 	0 
A,NR,BIOETH,FI	: 	402 	344 	105 	14 	1 	0 	0 	0 	12 	27 	17 
A,NR,BIOETH,FR	: 	238 	254 	231 	1062 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIOETH,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,BIOETH,HU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,NR,BIOETH,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,NR,BIOETH,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,BIOETH,LI	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIOETH,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIOETH,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 s	0 
A,NR,BIOETH,LV	: 	: 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIOETH,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIOETH,NL	: 	: 	: 	0 	0 	: 	: 	: 	: 	0 	0 	: 
A,NR,BIOETH,NO	: 	: 	: 	: 	: 	: 	0 	0 	2 	0 	0 	0 
A,NR,BIOETH,PL	: 	16 	1 	2 	2 	11 	22 	55 	24 	0 s	0 s	0 
A,NR,BIOETH,PT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 p
A,NR,BIOETH,SE	: 	1 	4 	3 	1 	0 	4 	3 	2 	7 	5 	4191 b
A,NR,BIOETH,TR	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,NR,BIOETH,XK	: 	: 	: 	: 	: 	0 	1 	0 	: 	0 	: 	: 
A,NR,DIE,AL	: 	: 	: 	: 	: 	: 	: 	33064 	32953 	42914 	36523 	47440 
A,NR,DIE,AT	: 	181061 	172574 	180510 	189139 	175590 	141159 	130468 	99196 	71808 	61537 	61187 
A,NR,DIE,BA	: 	4049 	4097 	3835 	4932 	5123 	5028 	4685 	3481 	3385 	3058 	3136 
A,NR,DIE,BE	: 	319863 	303953 	305838 	285653 	259790 	202272 	179716 	151970 	103914 	70559 	50855 
A,NR,DIE,CH	: 	119767 	117318 	132789 	130457 	118800 	95612 	88965 	64475 	51670 	45069 	44501 
A,NR,DIE,CY	: 	1255 	3184 	4157 	5327 	5450 	5264 	4532 	3065 	1460 	541 	443 
A,NR,DIE,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	56933 	46078 	54687 
A,NR,DIE,DE	: 	1403113 	1452565 	1538451 	1539596 	1336195 	1129025 	1230267 	949336 	691261 	642418 	703839 
A,NR,DIE,DK	: 	57435 	59545 	64203 	80216 	77493 	72475 	60475 	46295 	26648 	17441 	15260 
A,NR,DIE,EE	: 	7345 	7726 	6949 	6393 	6409 	6527 	6414 	5123 	5242 	4256 	4114 
A,NR,DIE,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	75989 e	80081 	104526 
A,NR,DIE,ES	: 	: 	590360 	658757 	725997 	690660 	573370 	455468 	332422 	265643 	205650 	186368 
A,NR,DIE,FI	: 	38697 	41404 	38844 	39556 	36216 	29071 	22022 	14567 	11252 	7447 	5277 
A,NR,DIE,FR	: 	1182129 	1129453 	1089403 	1032695 	1014418 	859623 	773411 	539142 	399164 	273570 	202813 s
A,NR,DIE,GE	: 	: 	: 	: 	: 	680 	1242 	994 	994 	1358 	1760 	1514 
A,NR,DIE,HR	: 	31046 	50861 	56807 	74421 	71385 	97276 	98343 	: 	8904 	7788 	9219 
A,NR,DIE,HU	: 	25769 	30219 	32271 	34700 	37039 	32655 	32299 	31606 	27065 	20567 	16703 p
A,NR,DIE,IE	: 	54428 	61917 	92436 	105257 	87644 	70743 	59884 	41688 	40292 	31336 	28913 
A,NR,DIE,IS	: 	: 	: 	: 	: 	11091 	8219 	4253 	2327 	2584 	: 	: 
A,NR,DIE,IT	: 	707641 	757895 	887074 	1058886 	1130434 	1000494 	793367 	505406 	403271 	323829 	357239 
A,NR,DIE,LI	: 	858 	800 	937 	985 	849 	644 	663 	422 	355 	315 	294 
A,NR,DIE,LT	: 	7019 	6879 	7690 	7587 	7865 	7210 	7262 	7042 	4706 	3183 	3684 
A,NR,DIE,LU	: 	: 	: 	: 	: 	: 	: 	23897 	18151 	14569 	12338 	10713 
A,NR,DIE,LV	: 	: 	7029 	6923 	7287 	7446 	6807 	6893 	4870 	3923 	3445 	3729 
A,NR,DIE,MD	: 	12453 	12611 	8407 	7908 	24132 	13821 	17550 	17019 	21624 	16781 	26266 
A,NR,DIE,ME	: 	: 	: 	: 	1288 	1662 	1599 	1164 	500 	1181 	699 	: 
A,NR,DIE,MT	: 	: 	: 	2712 	2603 	2616 	2412 	2088 	1062 	595 	497 	724 
A,NR,DIE,NL	: 	103557 	105014 	129768 	72355 	72265 	56996 	32685 	12963 	6920 	4638 	4068 
A,NR,DIE,NO	: 	83067 	76478 	76985 	53516 	44498 	34305 	28398 	19709 	11972 	8148 	3642 
A,NR,DIE,PL	450827 	102026 b	120616 s	118900 s	131300 s	135100 s	130700 s	110600 s	80900 s	107852 s	99869 s	144505 s
A,NR,DIE,PT	: 	: 	: 	: 	: 	139241 	124059 	91437 	51887 	38051 	33362 	29010 p
A,NR,DIE,RO	: 	31501 	39797 	44904 	48696 	54178 	53371 	44078 	34963 	24057 	19178 	20455 
A,NR,DIE,RS	: 	: 	: 	: 	: 	: 	: 	: 	7737 	6171 	5287 	: 
A,NR,DIE,SE	: 	176485 	188998 	207091 	202383 	192191 	138666 	123708 	67981 	53988 	36432 	25820 
A,NR,DIE,SI	: 	28016 	29763 	31031 	32589 	32410 	23877 	21499 	16918 	11743 	7739 	7355 
A,NR,DIE,TR	: 	383904 	364242 	462191 	460829 	457069 	320452 	211961 	247626 	149611 	107792 	162855 
