freq,unit,mot_nrg,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,ELC_DIE_HYB,CH	: 	705 	520 	844 	493 	182 	803 	3850 	5367 	9692 	10948 	13106 
A,NR,ELC_DIE_HYB,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,ELC_DIE_HYB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	822 	292 	638 
A,NR,ELC_DIE_HYB,DE	: 	: 	: 	: 	: 	1228 	17312 	70102 	107009 	143234 	153135 	208149 
A,NR,ELC_DIE_HYB,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,ELC_DIE_HYB,EE	: 	4 	3 	0 	1 	1 	73 	234 	260 	973 	891 	1227 
A,NR,ELC_DIE_HYB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	26319 e	32929 	48267 
A,NR,ELC_DIE_HYB,ES	: 	: 	139 	23 	34 	129 	1210 	14943 	26157 	38766 	32589 	40815 
A,NR,ELC_DIE_HYB,FI	: 	: 	75 	29 	11 	2 	224 	990 	1354 	2235 	1626 	1167 s
A,NR,ELC_DIE_HYB,FR	: 	13694 	9313 	18870 	4522 	1031 	2794 	11434 	23578 	36979 	25547 	21955 
A,NR,ELC_DIE_HYB,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,ELC_DIE_HYB,HU	: 	0 	0 	6 	12 	17 	247 	1078 	3895 	7973 	6245 	4053 p
A,NR,ELC_DIE_HYB,IE	: 	: 	: 	: 	: 	1 	1 	1 	520 	2249 	959 	2244 
A,NR,ELC_DIE_HYB,IS	: 	: 	: 	: 	: 	11 	32 	40 	: 	482 	: 	: 
A,NR,ELC_DIE_HYB,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	81486 
A,NR,ELC_DIE_HYB,LI	: 	1 	4 	3 	1 	3 	10 	42 	51 	104 	115 	118 
A,NR,ELC_DIE_HYB,LT	: 	: 	0 	: 	: 	0 	0 	2 	5 	900 	794 	945 
A,NR,ELC_DIE_HYB,LU	: 	: 	: 	: 	: 	: 	: 	806 	1203 	2756 	2692 	2615 
A,NR,ELC_DIE_HYB,LV	: 	: 	0 	0 	0 	1 	0 	0 	0 	0 	839 	1029 
A,NR,ELC_DIE_HYB,MT	: 	: 	: 	3 	2 	3 	3 	14 	26 	67 	81 	85 
A,NR,ELC_DIE_HYB,NO	: 	: 	: 	: 	91 	28 	85 	550 	706 	815 	645 	269 
A,NR,ELC_DIE_HYB,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	49857 s	49844 s	92900 s
A,NR,ELC_DIE_HYB,PT	: 	: 	: 	: 	: 	394 	637 	910 	2403 	4151 	4192 	3790 p
A,NR,ELC_DIE_HYB,RO	: 	20 	23 	43 	105 	199 	132 	713 	1137 	3664 	2765 	4133 
A,NR,ELC_DIE_HYB,SE	: 	473 	261 	135 	17 	17 	9 	56 	10879 	22825 	15433 	0 b
A,NR,ELC_DIE_HYB,TR	: 	: 	1 	72 	48 	9 	103 	934 	1610 	4971 	5984 	9180 
A,NR,ELC_DIE_HYB,UA	: 	: 	: 	: 	: 	: 	: 	2546 	828 	2282 	1154 	2546 
A,NR,ELC_DIE_HYB,UK	: 	: 	: 	3759 	1795 	783 	223 	: 	: 	30898 	26643 	: 
A,NR,ELC_DIE_HYB,XK	: 	: 	: 	: 	: 	: 	28 	0 	: 	28 	: 	: 
A,NR,ELC_DIE_PI,AL	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 
A,NR,ELC_DIE_PI,AT	: 	30 	103 	170 	150 	89 	40 	45 	439 	1026 	802 	694 
A,NR,ELC_DIE_PI,BA	: 	0 	: 	0 	: 	0 	: 	0 	: 	0 	: 	: 
A,NR,ELC_DIE_PI,CH	: 	261 	208 	266 	145 	100 	61 	10 	161 	572 	272 	4 
A,NR,ELC_DIE_PI,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,ELC_DIE_PI,DE	: 	: 	: 	: 	: 	1191 	583 	7432 	22431 	23581 	17009 	9109 
A,NR,ELC_DIE_PI,DK	: 	: 	1 	0 	5 	1 	1 	113 	488 	1128 	849 	273 
A,NR,ELC_DIE_PI,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	18 	29 	20 
A,NR,ELC_DIE_PI,ES	: 	: 	23 	9 	10 	8 	6 	77 	1252 	2169 	2129 	1742 
A,NR,ELC_DIE_PI,FI	: 	: 	51 	15 	93 	152 	135 	159 	435 	620 	401 	220 
A,NR,ELC_DIE_PI,FR	: 	241 	186 	90 	261 	288 	246 	779 	2396 	7236 	6240 	7973 s
A,NR,ELC_DIE_PI,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,ELC_DIE_PI,HU	: 	0 	0 	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,NR,ELC_DIE_PI,IE	: 	: 	: 	: 	: 	3 	10 	4 	34 	271 	574 	731 
A,NR,ELC_DIE_PI,IS	: 	: 	: 	: 	: 	123 	209 	167 	104 	179 	: 	: 
A,NR,ELC_DIE_PI,LU	: 	: 	: 	: 	: 	: 	: 	69 	320 	619 	410 	168 
A,NR,ELC_DIE_PI,LV	: 	: 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 
A,NR,ELC_DIE_PI,MT	: 	: 	: 	: 	: 	: 	: 	0 	0 	5 	10 	16 
A,NR,ELC_DIE_PI,NO	: 	: 	: 	: 	1112 	2455 	1880 	977 	1672 	1581 	535 	204 
A,NR,ELC_DIE_PI,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	3495 s	3525 s	4805 s
A,NR,ELC_DIE_PI,PT	: 	: 	: 	: 	: 	135 	96 	1151 	1920 	2134 	1289 	1320 p
A,NR,ELC_DIE_PI,SE	: 	590 	709 	579 	1326 	1115 	1270 	913 	2970 	3979 	2620 	1705 
A,NR,ELC_DIE_PI,TR	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,NR,ELC_DIE_PI,UK	: 	: 	: 	: 	: 	618 	229 	: 	: 	4070 	2306 	: 
A,NR,ELC_DIE_PI,XK	: 	: 	: 	: 	: 	: 	0 	0 	: 	1 	: 	: 
A,NR,ELC_PET_HYB,AL	: 	: 	: 	: 	: 	: 	: 	134 	193 	423 	528 	871 
A,NR,ELC_PET_HYB,AT	: 	2259 	1836 	1893 	3305 	6529 	6135 	10237 	18178 	29451 	28238 	36705 
A,NR,ELC_PET_HYB,BA	: 	0 	2 	2 	56 	136 	127 	191 	151 	315 	455 	923 
A,NR,ELC_PET_HYB,BE	: 	4920 	7585 	8352 	15692 	23458 	23510 	28998 	56502 	93969 	117384 	180748 
A,NR,ELC_PET_HYB,CH	: 	128 	528 	2089 	7274 	8293 	10553 	18285 	27513 	44741 	47102 	63355 
A,NR,ELC_PET_HYB,CY	: 	84 	108 	202 	381 	759 	983 	1052 	1424 	3074 	4253 	6127 
A,NR,ELC_PET_HYB,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	3078 	3291 	6492 
A,NR,ELC_PET_HYB,DE	: 	: 	: 	: 	: 	54009 	81503 	123799 	220385 	285898 	312090 	456426 
A,NR,ELC_PET_HYB,DK	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,ELC_PET_HYB,EE	: 	191 	308 	351 	771 	1186 	1512 	2582 	2582 	5376 	5933 	7908 
A,NR,ELC_PET_HYB,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	1713 e	1555 	2094 
A,NR,ELC_PET_HYB,ES	: 	: 	8070 	7156 	30431 	55236 	73544 	92605 	112546 	182089 	207950 	263300 
A,NR,ELC_PET_HYB,FI	: 	: 	2236 	2817 	4668 	8512 	11631 	14582 	17373 	25874 	24083 	19097 s
A,NR,ELC_PET_HYB,FR	: 	32194 	31829 	35950 	46301 	70320 	90727 	97951 	149738 	262497 	316690 	420145 
A,NR,ELC_PET_HYB,GE	: 	: 	: 	: 	: 	198 	204 	418 	418 	692 	836 	1430 
A,NR,ELC_PET_HYB,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6780 	: 
A,NR,ELC_PET_HYB,HU	: 	492 	518 	829 	1810 	3960 	6163 	9197 	30876 	44414 	41131 	44918 p
A,NR,ELC_PET_HYB,IE	: 	: 	: 	: 	: 	4482 	6977 	10789 	10553 	17110 	20331 	18026 
A,NR,ELC_PET_HYB,IS	: 	: 	: 	: 	: 	1158 	991 	1062 	: 	1981 	: 	: 
A,NR,ELC_PET_HYB,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	558288 
A,NR,ELC_PET_HYB,LI	: 	41 	35 	55 	62 	84 	106 	139 	263 	394 	376 	427 
A,NR,ELC_PET_HYB,LT	: 	45 	84 	94 	235 	501 	2304 	3200 	7998 	9485 	8749 	10554 
A,NR,ELC_PET_HYB,LU	: 	: 	: 	: 	: 	: 	: 	1439 	2594 	4468 	5336 	6859 
A,NR,ELC_PET_HYB,LV	: 	: 	1 	9 	18 	17 	18 	14 	78 	147 	301 	5509 
A,NR,ELC_PET_HYB,ME	: 	: 	: 	: 	: 	16 	25 	28 	34 	137 	775 	: 
A,NR,ELC_PET_HYB,MT	: 	: 	: 	48 	119 	225 	522 	715 	426 	872 	1316 	1731 
A,NR,ELC_PET_HYB,NL	: 	43326 	26727 	56219 	29916 	20732 	26173 	33741 	62474 	102529 	112394 	137192 
A,NR,ELC_PET_HYB,NO	: 	: 	: 	: 	17372 	20805 	17237 	18356 	14352 	13646 	12261 	8291 
A,NR,ELC_PET_HYB,PL	: 	1869 s	3887 s	5700 s	10100 s	17200 s	24300 s	41900 s	61900 s	80497 s	87104 s	94400 s
A,NR,ELC_PET_HYB,PT	: 	: 	: 	: 	: 	4317 	6726 	8546 	9635 	14969 	19822 	25199 p
A,NR,ELC_PET_HYB,RO	: 	190 	214 	43 	955 	1890 	3713 	6754 	13134 	27044 	31645 	40084 
A,NR,ELC_PET_HYB,SE	: 	4699 	6798 	8634 	13621 	18380 	21006 	28089 	36863 	47249 	42514 	26466 b
A,NR,ELC_PET_HYB,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11092 
A,NR,ELC_PET_HYB,TR	: 	27 	27 	128 	138 	385 	3616 	12110 	18347 	48237 	42095 	78753 
A,NR,ELC_PET_HYB,UA	: 	: 	: 	: 	: 	: 	: 	8264 	4230 	8235 	3888 	8264 
A,NR,ELC_PET_HYB,UK	: 	: 	: 	58716 	76970 	70123 	86207 	: 	: 	226410 	296033 	: 
A,NR,ELC_PET_HYB,XK	: 	: 	: 	: 	: 	: 	96 	0 	: 	231 	: 	: 
A,NR,ELC_PET_PI,AL	: 	: 	: 	: 	: 	: 	: 	: 	4563 	: 	: 	: 
A,NR,ELC_PET_PI,AT	: 	154 	331 	931 	1087 	1632 	2218 	2111 	7202 	13600 	12466 	16262 
A,NR,ELC_PET_PI,BA	: 	0 	: 	: 	: 	: 	: 	0 	: 	0 	: 	: 
A,NR,ELC_PET_PI,CH	: 	6066 	5637 	5589 	2675 	3271 	3969 	4199 	14132 	21231 	17541 	17373 
A,NR,ELC_PET_PI,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,ELC_PET_PI,DE	: 	: 	: 	: 	: 	28244 	30839 	37814 	177963 	301856 	345083 	166614 
A,NR,ELC_PET_PI,DK	: 	: 	81 	406 	567 	620 	3125 	3767 	17747 	39317 	25594 	16947 
A,NR,ELC_PET_PI,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	222 	362 	535 
A,NR,ELC_PET_PI,ES	: 	: 	246 	57 	142 	509 	1909 	5511 	21350 	40927 	45948 	61038 
A,NR,ELC_PET_PI,FI	: 	: 	212 	400 	1116 	2401 	4797 	5808 	12796 	19524 	15770 	17867 
A,NR,ELC_PET_PI,FR	: 	601 	1850 	5587 	7218 	11801 	14507 	18010 	72565 	134006 	121196 	154862 s
A,NR,ELC_PET_PI,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,ELC_PET_PI,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	689 	: 
A,NR,ELC_PET_PI,HU	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,NR,ELC_PET_PI,IE	: 	: 	: 	: 	: 	327 	737 	1447 	2482 	7698 	7261 	9241 
A,NR,ELC_PET_PI,IS	: 	: 	: 	: 	: 	2061 	2659 	1792 	2256 	4718 	: 	: 
A,NR,ELC_PET_PI,LU	: 	: 	: 	: 	: 	: 	: 	844 	2365 	3825 	3444 	4638 
A,NR,ELC_PET_PI,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	352 
A,NR,ELC_PET_PI,MT	: 	: 	: 	: 	: 	: 	: 	0 	215 	668 	1206 	962 
A,NR,ELC_PET_PI,NO	: 	344 	1684 	7982 	19644 	26777 	24694 	18314 	26490 	36803 	15641 	9994 
A,NR,ELC_PET_PI,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	5643 s	6159 s	8395 s
A,NR,ELC_PET_PI,PT	: 	: 	: 	: 	: 	2399 	3888 	4671 	10010 	13543 	14878 	25942 p
A,NR,ELC_PET_PI,SE	: 	519 	2702 	5173 	8964 	14874 	20541 	23992 	62954 	73848 	63911 	59364 
A,NR,ELC_PET_PI,TR	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,NR,ELC_PET_PI,UK	: 	: 	: 	: 	: 	34225 	43647 	: 	: 	108651 	96942 	: 
A,NR,ELC_PET_PI,XK	: 	: 	: 	: 	: 	: 	0 	0 	: 	5 	: 	: 
A,NR,GAS,AL	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	: 	: 
A,NR,GAS,AT	: 	455 	279 	167 	119 	114 	110 	421 	386 	70 	51 	6 
A,NR,GAS,BA	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,GAS,BE	: 	109 	263 	135 	790 	741 	950 	3147 	2796 	913 	400 	91 
A,NR,GAS,BG	: 	194 s	: 	215 s	56 s	215 s	292 s	450 s	: 	: 	: 	: 
A,NR,GAS,CH	: 	432 	217 	162 	249 	127 	114 	1090 	514 	268 	113 	38 
A,NR,GAS,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,GAS,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	840 	804 	455 
A,NR,GAS,DE	: 	7835 	8194 	5285 	3240 	3723 	10804 	7623 	7159 	3916 	1846 	1327 
A,NR,GAS,DK	: 	15 	43 	36 	36 	47 	7 	6 	0 	0 	0 	0 
A,NR,GAS,EE	: 	6 	17 	16 	3 	9 	3 	578 	664 	466 	285 	66 
A,NR,GAS,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	1099 e	644 	397 
A,NR,GAS,ES	: 	: 	127 	160 	70 	119 	429 	5914 	3782 	1195 	403 	148 
A,NR,GAS,FI	: 	21 	37 	18 	38 	65 	182 	2135 	1841 	909 	595 	453 
A,NR,GAS,FR	: 	19 	27 	46 	10 	26 	20 	230 	320 	170 	109 	: 
A,NR,GAS,GE	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	0 
A,NR,GAS,HR	: 	: 	: 	: 	2 	1 	2 	3 	1 	: 	: 	: 
A,NR,GAS,HU	: 	33 	31 	1 	4 	5 	9 	3 	2 	5 	4 	: 
A,NR,GAS,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 
A,NR,GAS,IS	: 	: 	: 	: 	: 	18 	5 	52 	35 	5 	3 s	: 
A,NR,GAS,IT	: 	67982 	72387 	62939 s	43787 s	32659 	37416 	38159 	32455 	31695 	10740 	1855 
A,NR,GAS,LI	: 	4 	1 	5 	0 	1 	1 	7 	2 	3 	2 	0 
A,NR,GAS,LT	: 	0 	0 	0 	: 	0 	: 	: 	: 	: 	0 	0 
A,NR,GAS,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	3 	2 s	0 
A,NR,GAS,LV	: 	: 	: 	: 	4 	11 	4 	15 	35 	19 	24 	3 
A,NR,GAS,MD	: 	415 	680 	576 	636 	841 	644 	737 	699 	1431 	293 	169 
A,NR,GAS,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,GAS,NL	: 	530 	3223 	678 	658 	1268 	990 	295 	60 	39 	16 	: 
A,NR,GAS,NO	: 	: 	: 	: 	5 e	37 	60 	17 	7 	0 	0 	0 
A,NR,GAS,PL	: 	11 s	14 s	: 	: 	: 	: 	: 	: 	5 s	0 s	0 
A,NR,GAS,PT	: 	: 	: 	: 	: 	7 	1 	42 	30 	31 	10 	2 p
A,NR,GAS,SE	: 	1325 	1602 	886 	499 	781 	592 	4535 	3248 	1484 	1879 	2004 
A,NR,GAS,SI	: 	: 	48 	40 	9 	43 	13 	27 	46 	16 	6 	0 
A,NR,GAS,SK	: 	1362 s	51 s	121 s	188 s	119 s	189 s	152 s	404 s	180 s	291 s	122 s
A,NR,GAS,TR	: 	3 	2 	: 	: 	0 	3 	6 	3 	1 	1 	2 
A,NR,GAS,UA	: 	: 	: 	: 	: 	: 	: 	2 	2 	3 	0 	2 
A,NR,GAS,UK	: 	: 	: 	13 	33 	3 	1 	: 	: 	14 	11 	: 
A,NR,GAS,XK	: 	: 	: 	: 	: 	0 	0 	0 	: 	0 	: 	: 
A,NR,HYD_FCELL,AL	: 	: 	: 	: 	: 	: 	: 	: 	0 	1 	: 	: 
A,NR,HYD_FCELL,AT	: 	0 	3 	9 	5 	0 	7 	19 	14 	14 	14 	10 
A,NR,HYD_FCELL,BA	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,HYD_FCELL,BE	: 	0 	1 	0 	0 	0 	0 	4 	2 	1 	2 	1 
A,NR,HYD_FCELL,BG	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	1 s
A,NR,HYD_FCELL,CH	: 	0 	0 	15 	10 	2 	14 	27 	48 	66 	72 	28 
A,NR,HYD_FCELL,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,HYD_FCELL,CZ	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	2 s	9 	3 	16 
A,NR,HYD_FCELL,DE	: 	0 s	3 s	72 s	49 s	122 	154 	210 	311 	466 	836 	267 
A,NR,HYD_FCELL,DK	: 	1 	1 	14 	14 	15 	6 	8 	45 	75 	6 	1 
A,NR,HYD_FCELL,EE	: 	0 s	0 s	0 s	0 	0 s	0 s	0 s	0 s	1 s	1 s	1 s
A,NR,HYD_FCELL,EL	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 
A,NR,HYD_FCELL,ES	: 	0 s	0 	0 	0 	: 	1 	1 	7 	9 	4 	8 
A,NR,HYD_FCELL,EU27_2020	: 	7 	21 	126 	104 	: 	223 	480 	751 	866 	1206 	718 
A,NR,HYD_FCELL,FI	: 	1 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 
A,NR,HYD_FCELL,FR	: 	1 	1 	10 	9 	57 	36 	63 	211 	61 	193 	283 
A,NR,HYD_FCELL,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,HYD_FCELL,HR	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,NR,HYD_FCELL,HU	: 	0 	0 	0 	0 	0 	0 	0 	0 	1 	1 	0 s
A,NR,HYD_FCELL,IE	: 	0 s	0 s	0 s	1 s	0 s	0 s	0 s	0 s	0 s	0 	0 s
A,NR,HYD_FCELL,IS	: 	: 	: 	: 	: 	: 	16 	7 	: 	3 	0 s	: 
A,NR,HYD_FCELL,IT	: 	0 s	10 s	1 s	0 s	0 s	1 s	17 s	7 s	10 s	11 s	2 s
A,NR,HYD_FCELL,LI	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,HYD_FCELL,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,HYD_FCELL,LU	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	1 	2 s	0 
A,NR,HYD_FCELL,LV	: 	0 s	0 	0 s	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,HYD_FCELL,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,HYD_FCELL,NL	: 	1 	2 	19 	7 	6 	13 	156 	147 	122 	89 	40 s
A,NR,HYD_FCELL,NO	: 	3 	4 	9 	23 	55 	50 	29 	16 	36 	27 	18 
A,NR,HYD_FCELL,PL	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 	0 	74 s	41 s	83 
A,NR,HYD_FCELL,PT	: 	0 s	0 s	0 s	0 s	0 	0 	0 	0 	3 s	0 	2 s
A,NR,HYD_FCELL,RO	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,NR,HYD_FCELL,SE	: 	3 	0 n	1 	19 	14 	5 	2 	5 	16 	2 	2 
A,NR,HYD_FCELL,SI	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,NR,HYD_FCELL,SK	: 	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	2 s	1 s	1 s
A,NR,HYD_FCELL,TR	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,NR,HYD_FCELL,UK	: 	: 	: 	: 	7 	35 	37 	: 	: 	12 	8 	: 
A,NR,HYD_FCELL,XK	: 	: 	: 	: 	: 	0 	0 	0 	: 	0 	: 	: 
A,NR,LPG,AL	: 	: 	: 	: 	: 	: 	: 	49 	133 	130 	58 	171 
A,NR,LPG,AT	: 	0 	0 n	0 	0 	: z	0 	0 	0 	0 	0 	0 
A,NR,LPG,BA	: 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	1 
A,NR,LPG,BE	: 	21 	7 	5 	4 	2 	1 	0 	0 	1 	0 	0 
A,NR,LPG,BG	: 	40 s	: 	116 s	502 s	465 s	: 	1769 s	: 	: 	4 s	28 s
A,NR,LPG,CH	: 	3 	7 	34 	6 	7 	4 	7 	3 	7 	3 	3 
A,NR,LPG,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,LPG,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	3991 	3622 
A,NR,LPG,DE	: 	6257 	6234 	4716 	2990 	4400 	4663 	7256 	6543 	10118 	15006 	13147 
A,NR,LPG,DK	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,LPG,EE	: 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,LPG,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,LPG,ES	: 	: 	1108 	2317 	133 	136 	269 	717 	232 	139 	271 	452 
A,NR,LPG,FI	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,LPG,FR	: 	0 	0 	0 	47 	0 	1 	1 	0 	0 	0 	: 
A,NR,LPG,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,LPG,HR	: 	: 	: 	: 	2 	: 	: 	: 	1 	1 	1 	1 
A,NR,LPG,HU	: 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A,NR,LPG,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	140 	: 
A,NR,LPG,IT	: 	115838 	124092 	120728 	101619 	128765 	126778 	137096 	94989 	108090 	118415 	141624 
A,NR,LPG,LI	: 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
A,NR,LPG,LT	: 	0 	14 	0 	0 	0 	1 	1 	1 	0 	1 	1 
A,NR,LPG,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 s	0 
A,NR,LPG,LV	: 	: 	: 	: 	77 	78 	56 	120 	106 	264 	320 	388 
A,NR,LPG,MD	: 	1555 	1204 	712 	605 	1440 	467 	431 	276 	524 	401 	389 
A,NR,LPG,ME	: 	: 	: 	: 	12 	: 	: 	6 	: 	22 	15 	: 
A,NR,LPG,MT	: 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,LPG,NL	: 	2081 	998 	362 	860 	1200 	969 	520 	1921 	2229 	2285 	: 
A,NR,LPG,NO	: 	: 	: 	: 	: 	: 	0 	0 	2 	0 	0 	0 
A,NR,LPG,PL	58873 	3472 b	4777 s	5500 s	6500 s	10100 s	7500 s	8100 s	9200 s	13500 s	12200 s	12500 
A,NR,LPG,PT	: 	: 	: 	: 	: 	1795 	1894 	2239 	1878 	3614 	5521 	11321 p
A,NR,LPG,SE	: 	1 	0 n	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,LPG,SI	: 	: 	232 	199 	290 	335 	148 	90 	137 	557 	689 	504 
A,NR,LPG,SK	: 	: 	: 	0 s	293 s	646 s	561 s	239 s	540 s	651 s	1407 s	1568 s
A,NR,LPG,TR	: 	14312 	11339 	13288 	13715 	25391 	26443 	22545 	33256 	31640 	11168 	13099 
A,NR,LPG,XK	: 	: 	: 	: 	: 	0 	0 	0 	: 	0 	: 	: 
A,NR,OTH,AL	: 	: 	: 	: 	: 	: 	: 	3684 	0 	1 	0 	0 
A,NR,OTH,AT	: 	0 	0 n	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,BA	: 	0 	0 	0 	1 	0 	1 	1 	3 	0 	1 	0 
A,NR,OTH,BE	: 	0 	0 	0 	0 	0 	0 	4 	3 	0 	0 	1 
A,NR,OTH,CH	: 	0 	0 	2 	1 	0 	0 	0 	0 	1 	1 	0 
A,NR,OTH,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	2 	2 	0 
A,NR,OTH,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 
A,NR,OTH,DE	: 	26391 	27529 	33838 	48063 	25 	28 	117 	95 	68 	74 	110 
A,NR,OTH,DK	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,NR,OTH,EE	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,OTH,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 
A,NR,OTH,ES	: 	: 	344 	19 	771 	1635 	2631 	1570 	250 	121 	13 	7 
A,NR,OTH,FI	: 	2 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 
A,NR,OTH,FR	: 	86 	38 	46 	83 	113 	11 	3 	2 	1 	1 	: 
A,NR,OTH,GE	: 	: 	: 	: 	: 	: 	1 	1 	1 	1 	: 	0 
A,NR,OTH,HR	: 	98 	420 	466 	501 	664 	1085 	1922 	: 	: 	: 	11194 
A,NR,OTH,HU	: 	5 	14 	10 	11 	9 	0 	1 	1 	0 	2 	: 
A,NR,OTH,IE	: 	591 	958 	1718 	2943 	: 	0 	1 	: 	316 	585 	5 
A,NR,OTH,IS	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 
A,NR,OTH,IT	: 	: 	: 	89 	: 	1896 	: 	: 	: 	: 	: 	85 
A,NR,OTH,LI	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,NR,OTH,LT	: 	0 	38 	39 	19 	13 	102 	254 	433 	334 	369 	4 
A,NR,OTH,LU	: 	: 	: 	: 	: 	: 	: 	5 	17 	0 	0 s	1 
